PSCor PSCorErr PSErr ASCor ASErrCor ASErr OSCor OSErrCor OSErr Dropped total AScor.lat ASErrCor.lat ASErr.lat PScor.lat PSErrCor.lat PSErr.lat OScor.lat OSErrCor.lat OSErr.lat subj date run type
0 0 0 0 0 0 22 0 11 15 48 NA NA NA NA NA NA NA NA 440.090909090909 10816 20131218 1 Fix
0 0 0 27 14 1 0 0 0 6 48 301.259259259259 165.714285714286 317 NA NA NA NA NA NA 10666 20090414 1 Anti
0 0 0 40 3 0 0 0 0 5 48 270.3 131.666666666667 NA NA NA NA NA NA NA 10666 20101110 1 Anti
0 0 0 42 4 0 0 0 0 2 48 265.119047619048 133.5 NA NA NA NA NA NA NA 10666 20120925 1 Anti
0 0 0 4 33 2 0 0 0 9 48 275.25 166.151515151515 153 NA NA NA NA NA NA 10811 20100403 1 Anti
0 0 0 22 16 2 0 0 0 8 48 282.181818181818 199.625 179 NA NA NA NA NA NA 10811 20111031 1 Anti
0 0 0 46 1 0 0 0 0 1 48 258 130 NA NA NA NA NA NA NA 10811 20140320 1 Anti
0 0 0 17 24 0 0 0 0 7 48 439.176470588235 218.25 NA NA NA NA NA NA NA 10821 20100524 1 Anti
0 0 0 26 20 1 0 0 0 1 48 334.961538461538 189.1 275 NA NA NA NA NA NA 10821 20120213 1 Anti
0 0 0 41 7 0 0 0 0 0 48 302.731707317073 167.285714285714 NA NA NA NA NA NA NA 10821 20130822 1 Anti
40 3 0 0 0 0 0 0 0 5 48 NA NA NA 266.15 122.333333333333 NA NA NA NA 10292 20080520 1 VGS
38 0 0 0 0 0 0 0 0 10 48 NA NA NA 252.605263157895 NA NA NA NA NA 10292 20090415 1 VGS
39 1 2 0 0 0 0 0 0 6 48 NA NA NA 231 294 624.5 NA NA NA 10292 20100417 1 VGS
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10292 20060421 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10292 20070501 1 Anti
0 0 0 29 14 0 0 0 0 5 48 384.724137931034 229.571428571429 NA NA NA NA NA NA NA 10292 20080520 1 Anti
0 0 0 25 14 2 0 0 0 7 48 421.16 256.785714285714 583 NA NA NA NA NA NA 10292 20090415 1 Anti
0 0 0 25 15 3 0 0 0 5 48 339.6 217.4 320.666666666667 NA NA NA NA NA NA 10292 20100417 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10292 20060421 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10292 20070501 1 Fix
0 0 0 0 0 0 26 0 19 3 48 NA NA NA NA NA NA NA NA 365.157894736842 10292 20080520 1 Fix
0 0 0 0 0 0 38 0 8 2 48 NA NA NA NA NA NA NA NA 352.875 10292 20090415 1 Fix
